Maker, Genmodel,Color,Reg_year,Bodytype,Mileage,Engin_size,Gearbox,Fuel_type,Price,Engine_power,Annual_Tax,Wheelbase,Height,Width,Length,Average_liter_per_100_kilometer,Top_speed_kph,Seat_num,Door_num
Bentley,Continental,Brown,2014.0,Coupe,15135.8427,4.0L,Automatic,Petrol,91176.4705882353,500.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,302.55592,4.0,2.0
Bentley,Continental,Silver,2009.0,Convertible,71406.4158,6.0L,Automatic,Petrol,58811.76470588236,600.0,652.9411764705883,2745.0,1388.0,1918.0,4804.0,13.836176470588237,321.868,4.0,2.0
Bentley,Continental,Grey,2013.0,Coupe,29289.988,4.0L,Automatic,Petrol,86928.23529411765,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,White,2014.0,Convertible,14915.36312,4.0L,Automatic,Petrol,123529.41176470587,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,9.081660231660232,307.38394,4.0,2.0
Bentley,Continental,Blue,2008.0,Saloon,89558.16166,6.0L,Automatic,Petrol,41164.705882352944,552.0,652.9411764705883,3065.0,1479.0,2118.0,5307.0,17.168978102189783,313.8213,5.0,4.0
Bentley,Continental,Black,2011.0,Coupe,80467.0,6.0L,Automatic,Petrol,63500.0,552.0,652.9411764705883,2745.0,1390.0,2102.0,4807.0,14.255454545454546,318.64932,4.0,2.0
Bentley,Continental,White,2015.0,Coupe,45290.04628,4.0L,Automatic,Petrol,105823.52941176471,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Silver,2011.0,Coupe,43448.96132,6.0L,Automatic,Petrol,68223.52941176471,621.0,652.9411764705883,2745.0,1390.0,2194.0,4807.0,13.918047337278107,328.30536,4.0,2.0
Bentley,Continental,Grey,2014.0,Coupe,32347.734,4.0L,Automatic,Petrol,95000.0,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Grey,2014.0,Coupe,20921.42,4.0L,Automatic,Petrol,94056.4705882353,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Black,2013.0,Convertible,65982.94,4.0L,Automatic,Petrol,111752.9411764706,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,9.081660231660232,300.94658,4.0,2.0
Bentley,Continental,Black,2009.0,Convertible,28968.12,6.0L,Automatic,Petrol,64705.88235294118,552.0,652.9411764705883,2745.0,1388.0,1918.0,4804.0,13.836176470588237,305.7746,4.0,2.0
Bentley,Continental,Blue,2008.0,Convertible,57709.32306,6.0L,Automatic,Petrol,61117.64705882353,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,Blue,2014.0,Coupe,34925.89668,4.0L,Automatic,Petrol,99972.9411764706,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Blue,2013.0,Convertible,4828.02,4.0L,Automatic,Petrol,105876.4705882353,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,9.081660231660232,300.94658,4.0,2.0
Bentley,Continental,Grey,2016.0,Coupe,16093.4,4.0L,Automatic,Petrol,126458.82352941176,521.0,635.2941176470589,2746.0,1391.0,2226.0,4818.0,8.909659090909091,308.99328,4.0,2.0
